Mes,Magnitud_mean,Magnitud_min,Magnitud_max,Magnitud_count,Profundidad_mean,Profundidad_min,Profundidad_max,Profundidad_count
1,4.44333,4.0,4.9,944,69.59439,1.0,604.0,944
2,4.42554,4.0,4.9,881,75.15505,1.0,750.0,881
3,4.4312,4.0,4.9,1045,72.24239,1.0,596.0,1045
4,4.44481,4.0,4.9,1214,78.80568,1.0,698.0,1214
5,4.47867,4.0,4.9,1050,79.33276,1.0,750.0,1050
6,4.46357,4.0,4.9,1076,84.90242,1.0,598.0,1076
7,4.46092,4.0,4.9,1113,86.33827,0.4,750.0,1113
8,4.46711,4.0,4.9,1052,87.15238,1.0,642.0,1052
9,4.50353,4.0,4.9,1190,81.11655,1.0,622.0,1190
10,4.4949,4.0,4.9,960,73.59229,1.0,617.0,960
11,4.47532,4.0,4.9,1001,92.66743,0.5,679.0,1001
12,4.49551,4.0,4.9,981,80.31733,0.6,594.0,981
